Mixed_Flock,Localidade,Latitude,Longitude,Fitofisionomia,Ecoregion,Temp,Prec,Alt,npp,evapo,Located,Edge
126,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
127,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
128,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,edge,1
129,Corumba,-19.17,-57.62,seasonal_forest,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,interior,0
89,Coronel_Sapucaia,-23.362923,-55.212445,cerradao,Cerrado,219,1588,407,0.50999999,90.56829834,edge,1
80,Coronel_Sapucaia,-23.362923,-55.212445,cerradao,Cerrado,219,1588,407,0.50999999,90.56829834,edge,1
82,Coronel_Sapucaia,-23.362923,-55.212445,cerradao,Cerrado,219,1588,407,0.50999999,90.56829834,edge,1
86,Coronel_Sapucaia,-23.362923,-55.212445,galeria_ciliar,Cerrado,219,1588,407,0.50999999,90.56829834,interior,0
87,Coronel_Sapucaia,-23.362923,-55.212445,galeria_ciliar,Cerrado,219,1588,407,0.50999999,90.56829834,interior,0
85,Coronel_Sapucaia,-23.362923,-55.212445,cerradao,Cerrado,219,1588,407,0.50999999,90.56829834,edge,1
84,Coronel_Sapucaia,-23.362923,-55.212445,cerradao,Cerrado,219,1588,407,0.50999999,90.56829834,edge,1
83,Coronel_Sapucaia,-23.362923,-55.212445,cerradao,Cerrado,219,1588,407,0.50999999,90.56829834,interior,0
261,Casa_Verde,-21.612264,-53.30533,cerradao,Cerrado,235,1341,339,0.782999992,87.70420074,interior,0
269,Casa_Verde,-21.612264,-53.30533,cerradao,Cerrado,235,1341,339,0.782999992,87.70420074,interior,0
270,Casa_Verde,-21.612264,-53.30533,cerradao,Cerrado,235,1341,339,0.782999992,87.70420074,interior,0
